triple_id,chapter_no,chapter_title,subject,relation,object,source_text
T1888,11,জীবের প্রজনন,স্ফীত অগ্রভাগ,কাজ,ফেটে পুংজনন কোষ দুটি ভ্রণথলিতে মুক্ত হওয়া,স্ফীত অগ্রভাগটি ফেটে পুংজনন কোষ দুটি ভ্রণথলিতে মুক্ত হয়। এর একটি ডিম্বাণুর সাথে মিলিত হয়ে জাইগোট (258০006) তৈরি করে৷ অপর পুংজনন কোষটি গৌণ নিউক্লিয়াসের সাথে মিলিত হয়ে ট্রিপ্নয়েড প্রায় একই সময়ে দুটি পুংজনন কোষের একটি ডিম্বাণু এবং অপরটি গৌণ নিউক্লিয়াসের সাথে মিলিত হয়। এ ঘটনাকে দ্বিনিষেক (00০08৮16 ৩10118001) বলা হয়।
T1117,6,জীবে পরিবহন,লোহিত রক্ত কণিকায়,পরিমাণ,"৪, এবং ৮ নামক দুই ধরনের আ্যান্টিজেন","একজন আশঙ্কাজনক বা মুমূর্ষু রোগীর জন্য রক্তের প্রয়োজন, তার রক্তের গ্রুপ “বি' পজিটিভ ৷ তোমরা এ রকম বিজ্ঞাপন প্রায়ণই টেলিভিশনের পর্দায় দেখতে পাও। রক্তের গ্রুপ বা রাড গ্রুপ কী? কেনইবা ব্লাড গ্রুপ জানা প্রয়োজন? অসংখ্য পরীক্ষা-নিরীক্ষা এবং গবেষণার মাধ্যমে দেখা গেছে যে বিভিন্ন ব্যক্তির লোহিত রক্ত কণিকায় 4, এবং 8 নামক দুই ধরনের আ্যান্টিজেন (91140189115) থাকে এবং রক্তরসে ৪ ও ৮ দুধরনের আ্যান্টিবডি (৪108007) থাকে। এই আ্যান্টিজেন এবং আ্যান্টিবড়ির উপস্থিতির উপর ভিত্তি করে মানুষের রক্তকে বিভিন্ন গ্রুপে ভাগ করা যায়। একে র্লা্ড গ্রুপ বলে। বিজ্ঞানী কার্ল ল্যান্ডস্টেইনার 1901 সালে মানুষের রক্তের শ্রেণিবি"
T1668,10,সমন্বয়,মেডুলা অবলংগাটা,অংশ,পনস,(01) পনস (20:05): মেডুলা অবলংগাটা এবং মধ্যমস্তিষ্কের মাঝখানে পনস অবস্থিত ৷ এটি নলাকৃতির ও একগুচ্ছ স্নায়ুর সমন্বয়ে তৈরি এবং সেরিবেলাম ও মেডুলা অবলংগাটার মধ্যে সংযোগ স্থাপন করে। মস্তিষ্কের সবচেয়ে পিছনের অংশ। এর সামনের দিকে যুক্ত।
T2079,12,জীবের বংশগতি ও জৈব অভিব্যক্তি,মানুষ,লক্ষণ,ভিন্নতা,"প্রথম শর্ত - বৈচিত্র্য: একটি পপুলেশনের সব সদস্য যদি একই প্রজাতির হয় তবু তাদের প্রত্যেকের কিছু নিজস্বতা থাকবেই ৷ সব গরু একরকম না, সব কাঁঠালগাছ একরকম না। সব মানুষ একই প্রজাতির সদস্য, তবু দেখো মানুষে মানুষে কত ভিন্নতা। এমনকি একই প্রজাতির ব্যাকটেরিয়াগুলোও সব হুবহু একরকম হয় না। দ্বিতীয় শর্ত - নির্বাচন: যে বৈশিদ্ট্যের তারতম্য বা বৈচিত্র্য কোনো পরিবেশে তার বংশবৃদ্ধিতে সহায়ক ভূমিকা রাখে, সেই বৈশিষ্ট্যগুলোর থেকেই কোনো কোনোটা পরবর্তী প্রজন্মে সঞ্চারিত হয়। যাবতীয় বৈশিষ্ট্যগুলোকে মোটা দাগে তিন ভাগে ভাগ করা যায়।"
T0543,5,"খাদ্য, পুষ্টি ও পরিপাক",রাসায়নিক বিক্রিয়া,কারণ,পরিপাকের রসের এনজাইম খাদ্যের রাসায়নিক ক্রিয়াকে ত্বরাশ্বিত করতে সাহায্য,রাসায়নিক বিক্রিয়া: রাসায়নিক প্রক্রিয়া পরিপাকের দ্বিতীয় ধাপ। পরিপাক রসের এনজাইম খাদ্যের রাসায়নিক ক্রিয়াকে ত্বরাশ্বিত করতে সাহায্য করে। এতে খাদ্যের জটিল উপাদানগুলো ভেঙে দেহের গ্রহণযোগ্য সরল উপাদানে পরিণত হয়। তাছাড়া কোষের ভিতরকার কর্মকাণ্ড এই এনজাইমের উপর নির্ভরশীল।
T0352,2,জীবকোষ ও টিস্যু,পেশি,অবস্থান,অভ্যন্তরীণ,"চিত্র ২.২৩: বিভিন্ন ধরনের পেশি অভ্যন্তরীণ পরিবহণ ঘটায় । অবস্থান, গঠন এবং কাজের ভিত্তিতে পেশি টিস্যু তিন ধরনের, এঁচ্ছিক পেশি, অনৈচ্ছিক পেশি এবং হৃৎপেশি ৷"
T1514,9,দৃঢ়তা প্রদান ও চলন,নিয়মিত ব্যায়াম,প্রতিরোধ,করা,"* কমলার রস, সবুজ শাকসবজি, সয়াদ্রব্য ও ক্যালসিয়াম-সমৃদ্ধ খাবার খাওয়া । ২০০ জীববিজ্ঞান প্রতিরোধ * যথেষ্ট পরিমাণে সূর্যালোকের সংস্পর্শে আসা। * ক্যালসিয়াম ও ভিটামিন 1 সমৃদ্ধ খাদ্য গ্রহণ করা। * নিয়মিত ব্যায়াম করা যেদি কেউ ইতোমধ্যে অস্টিওপোরোসিসে আক্রান্ত হয় তাহলে ব্যায়াম করার আগে চিকিৎসকের পরামর্শ নিতে হবে)। * সুষম ও আশযুন্ত খাবার গ্রহণ করা।"
T1775,10,সমন্বয়,রোগ,লক্ষণ,ঘন-ঘন প্রস্রাব হওয়া,"রক্ত ও প্রস্রাবে গ্লুকোজের মাত্রা পরিমাণের চেয়ে বেড়ে গেলে এই রোগের লক্ষণ প্রকাশ পায়। লক্ষণগুলো হলো ঘন-ঘন প্রস্রাব হওয়া, অধিক পিপাসা লাগা, ক্ষুধা বেড়ে যাওয়া, পর্যাপ্ত খাবার খাওয়া সত্ত্বেও দেহের ওজন কমতে থাকা, দুর্বল বোধ করা, চোখে কম দেখা, চামড়া খসখসে ও রুক্ষ হয়ে যাওয়া, ক্ষতস্থান সহজে না শুকানো ইত্যাদি"
T0099,2,জীবকোষ ও টিস্যু,ইলেক্ট্রন মাইক্রোস্কোপ,প্রকার,অণুবীক্ষণ যন্ত্র,"গতিপথ বাঁকিয়ে দিতে পারে, ঠিক যেরকম কাচ, আলোকে বাঁকিয়ে দেয়। ফলে কোষের ভেতরকার অঙ্গাণুগুলো স্পষ্ট দেখা সম্ভব হয়। যে অণুবীক্ষণ যন্ত্রে ইলেক্ট্রন তরঙকে ব্যবহার করে বিবর্ধন করা হয়, তাকে ইলেক্ট্রন (ইলেক্ট্রনিক নয়) মাইক্রোস্কোপ (6160001] 1010050016) বা ইলেক্ট্রন অণুবীক্ষণ যন্ত্র"
T0761,5,"খাদ্য, পুষ্টি ও পরিপাক",স্বাস্থ্যসম্মত,কারণ,পায়খানা ব্যবহার করা,"কৃমি আক্রান্ত ব্যক্তি অথবা মাছির মাধ্যমে খাদ্যবস্তু দূষিত হয়। দূষিত খাদ্য কৃমি বিস্তারে সহায়তা করে। কাঁচা ফলমূল ধুয়ে খাওয়ার অভ্যাস গড়ে তোলা, খাবার আগে হাত ভালোভাবে ধোয়া, স্বাস্থ্যসম্মত পায়খানা ব্যবহার করা, খালি পায়ে না হাঁটা এবং অল্প সিদ্ধ শাকসবজি বা মাংস না খাওয়া ইত্যাদি সাবধানতা অবলম্বন করে এ রোগ প্রতিরোধ করা সম্ভব।"
