token,count,proposed,auto_corroborated,decision
অভিব্যস্তি,12,অভিব্যক্তি,yes,fix
অভিব্যস্তির,11,অভিব্যক্তির,yes,fix
জীবপ্রযুস্তি,8,জীবপ্রযুক্তি,yes,fix
জীবনীশস্তি,6,জীবনীশক্তি,yes,fix
শনাস্ত,5,শনাক্ত,yes,fix
ব্যস্তির,5,ব্যক্তির,yes,fix
রস্তের,3,রক্তের,yes,fix
ডাস্তারের,3,ডাক্তারের,yes,fix
রস্তকোষ,3,রক্তকোষ,yes,fix
যুস্তিসহ,2,যুক্তিসহ,yes,fix
ব্যস্তি,2,ব্যক্তি,yes,fix
জীবপ্রযুস্তির,2,জীবপ্রযুক্তির,yes,fix
রস্তবাহিকা,2,রক্তবাহিকা,yes,fix
অতিরিস্ত,2,অতিরিক্ত,yes,fix
জিনপ্রযুস্তি,1,জিনপ্রযুক্তি,yes,fix
বিভস্ত,1,বিভক্ত,yes,fix
নিষিস্তকরণ,1,নিষিক্তকরণ,yes,fix
ডাস্তার,1,ডাক্তার,yes,fix
শস্তির,1,শক্তির,yes,fix
মাত্রাতিরিস্ত,1,মাত্রাতিরিক্ত,yes,fix
যুস্ত,1,যুক্ত,yes,fix
শস্তি,1,শক্তি,yes,fix
তাপশস্তি,1,তাপশক্তি,yes,fix
রস্ত,1,রক্ত,yes,fix
রস্তকোষের,1,রক্তকোষের,yes,fix
রস্তরসের,1,রক্তরসের,yes,fix
রস্তকণিকা,1,রক্তকণিকা,yes,fix
বস্তু,34,বক্তু,,
স্তরের,30,ক্তরের,,
প্রস্তুত,26,প্রক্তুত,,
স্ত্রী,24,ক্ত্রী,,
মস্তিষ্কের,20,মক্তিষ্কের,,
মস্তিষ্ক,19,মক্তিষ্ক,,
স্তর,16,ক্তর,,
বাস্তুতন্ত্রের,15,বাক্তুতন্ত্রের,,
বিস্তৃত,13,বিক্তৃত,,
ক্ষতিগ্রস্ত,13,ক্ষতিগ্রক্ত,,
মস্তিষ্কে,12,মক্তিষ্কে,,
আস্তে,10,আক্তে,,
সমস্ত,9,সমক্ত,,
বস্তুর,9,বক্তুর,,
অস্তিত্ব,8,অক্তিত্ব,,
বিন্যস্ত,8,বিন্যক্ত,,
বিস্তার,7,বিক্তার,,
খাদ্যবস্তু,7,খাদ্যবক্তু,,
বিস্তারিত,6,বিক্তারিত,,
পুংস্তবক,6,পুংক্তবক,,
বাস্তুতন্ত্রে,6,বাক্তুতন্ত্রে,,
স্তরে,6,ক্তরে,,
বাধাগ্রস্ত,5,বাধাগ্রক্ত,,
স্তবক,5,ক্তবক,,
অস্তিত্বের,5,অক্তিত্বের,,
বাস্তুতন্দ্রের,5,বাক্তুতন্দ্রের,,
স্তরবিশিষ্ট,5,ক্তরবিশিষ্ট,,
বস্তুকে,5,বক্তুকে,,
স্তরটি,4,ক্তরটি,,
স্ত্রীসতবক,4,ক্ত্রীসতবক,,
বংশবিস্তার,4,বংশবিক্তার,,
বাস্তুতন্ত্র,4,বাক্তুতন্ত্র,,
বাস্তুতন্দ্রে,4,বাক্তুতন্দ্রে,,
খাদ্যবস্তুকে,4,খাদ্যবক্তুকে,,
বস্তুতে,3,বক্তুতে,,
অগ্রমস্তিষ্ক,3,অগ্রমক্তিষ্ক,,
মধ্যমস্তিষ্ক,3,মধ্যমক্তিষ্ক,,
স্ত্রীর,3,ক্ত্রীর,,
অন্তঃস্তরের,3,অন্তঃক্তরের,,
স্তন্যপায়ীদের,3,ক্তন্যপায়ীদের,,
বস্ত্র,3,বক্ত্র,,
বস্তুটি,3,বক্তুটি,,
সৌরশস্তিকে,3,সৌরশক্তিকে,,
খাদ্যবস্তুর,3,খাদ্যবক্তুর,,
দস্তা,3,দক্তা,,
প্রশস্ত,3,প্রশক্ত,,
বিস্তৃতি,2,বিক্তৃতি,,
বিস্তারের,2,বিক্তারের,,
প্রস্তাব,2,প্রক্তাব,,
মস্তিস্কের,2,মক্তিস্কের,,
মধ্যমস্তিষ্কের,2,মধ্যমক্তিষ্কের,,
মস্তিফ্কে,2,মক্তিফ্কে,,
স্তবকের,2,ক্তবকের,,
স্তনগ্রন্থির,2,ক্তনগ্রন্থির,,
পরাস্ত,2,পরাক্ত,,
স্তন্যপায়ী,2,ক্তন্যপায়ী,,
স্ত্রীকে,2,ক্ত্রীকে,,
বাস্তুতন্্র,2,বাক্তুতন্্র,,
বাস্তৃতন্দ্রের,2,বাক্তৃতন্দ্রের,,
খাদ্যস্তরে,2,খাদ্যক্তরে,,
বাস্তৃতন্দ্রে,2,বাক্তৃতন্দ্রে,,
প্রস্তুতে,2,প্রক্তুতে,,
স্তরকে,2,ক্তরকে,,
বাস্তুতান্ত্রিক,2,বাক্তুতান্ত্রিক,,
বাস্তুতত্ত্র,2,বাক্তুতত্ত্র,,
বিষাস্ততা,2,বিষাক্ততা,,
স্তরীভূত,2,ক্তরীভূত,,
বহিঃস্তর,2,বহিঃক্তর,,
মধ্যস্তর,2,মধ্যক্তর,,
অন্তঃস্তর,2,অন্তঃক্তর,,
বাস্তুবিদ্যা,1,বাক্তুবিদ্যা,,
সম্পৃস্ততা,1,সম্পৃক্ততা,,
দৃষ্টিশস্তি,1,দৃষ্টিশক্তি,,
পুস্তকাকারে,1,পুক্তকাকারে,,
বিস্তারিতভাবে,1,বিক্তারিতভাবে,,
টিস্যুতস্তেের,1,টিস্যুতক্তেের,,
নিস্তেজকও,1,নিক্তেজকও,,
নিস্তেজক,1,নিক্তেজক,,
পশ্চাৎমস্তিষ্ক৷,1,পশ্চাৎমক্তিষ্ক৷,,
গুরুমস্তিষ্কও,1,গুরুমক্তিষ্কও,,
বাকশস্তি,1,বাকশক্তি,,
অগ্রমস্তিষ্কের,1,অগ্রমক্তিষ্কের,,
মস্তিষ্ককে,1,মক্তিষ্ককে,,
মধ্যমস্তিক্কের,1,মধ্যমক্তিক্কের,,
পশ্চাৎমস্তিষ্ক,1,পশ্চাৎমক্তিষ্ক,,
গলজিবস্তু,1,গলজিবক্তু,,
পুস্তক,1,পুক্তক,,
মাদকাশস্তির,1,মাদকাশক্তির,,
