node_id,label,chapters,n_facts
0,25-29.9 শরীরের ওজন,5,1
1,30-34.9 শরীরের ওজন,5,1
2,35-39.9 শরীরের ওজন,5,1
3,40 এর উপরে শরীরের ওজন,5,1
4,অংশ,"5,10,14",9
5,অক্ষরণগুলি,10,1
6,অক্সিজেন,4,1
7,অক্সিজেনবিহীন পরিবেশে,4,1
8,অক্সিন,10,4
9,অক্সিহিমোগ্লোবিন,7,1
10,অগ্ন্যাশয়,"2,5",5
11,অগ্ন্যাশয়রস,5,2
12,অগ্যাশয় রস,5,1
13,অগ্রপেষণ দাঁত,5,1
14,অঙ্গ,10,1
15,অঙ্গাগুলো,2,1
16,অঙ্গাণু,2,2
17,অজীর্ণ,7,1
18,অজীর্ণতা,5,7
19,অঞঙ্গ,9,1
20,অটোরেডিওগ্রাফ,12,2
21,অণুক্লোম শাখা,7,1
22,অণুচক্কিকা,6,3
23,অণুচক্কিকার,6,1
24,অণুচক্রিকা,6,2
25,অণুজীবজগত,13,1
26,অণুবীক্ষণ যন্ত্র,2,2
27,অত্যধিক হারে বংশবৃদ্ধি,12,1
28,অত্যাবশ্যকীয় উপাদান,5,2
29,অদ্লের আধিক্য,5,2
30,অধিক মাত্রার কোলেস্টেরল,6,1
31,অনিয়ত পুষ্পমঞ্জরি,11,1
32,অনুভূতিবাহী বা সংবেদী নিউরন গ্রাহক অঙ্গ,10,1
33,অনুভূতিবাহী য়ায়ু,10,1
34,অনৈচ্ছিক পেশি,2,2
35,অন্তঃনিষেক,11,3
36,অন্তঃম্তর,6,2
37,অন্যকে রক্তদান,6,1
38,অপত্য,2,1
39,অপত্য কোষে,3,1
40,অপত্য ক্রোমোজোম,2,5
41,অবরণী টিস্যু,2,5
42,অবশিষ্ট পানি,6,2
43,অবস্থা,7,3
44,অবাত শ্বসন,4,2
45,অভাবজনিত লক্ষণ,5,1
46,অভিন্রবণ,6,1
47,অভিপ্রবণ,5,1
48,অভ্যন্তরীণ অঙ্গ,2,1
49,অমরা,11,8
50,অযৌন প্রজনন,11,1
51,অলিন্দ,6,2
52,অল্প অংশ,5,2
53,অল্প সিদ্ধ,5,1
54,অসুস্থ মানবদেহে,6,1
55,অস্টিওপোরোসিস,9,3
56,অস্থি,9,14
57,অস্থি ও পেশি,9,1
58,অস্থিমজ্জা,9,1
59,অস্থির মাতৃকা,9,1
60,অস্থিসন্ধি,9,8
61,অস্থিসন্ধির অসুখ,9,1
62,অস্বাভাবিক খাটো হওয়া রোগ,14,1
63,অস্বাস্থ্যকর জীবনযাপন,8,1
64,আঁটিগুচ্ছ,9,3
65,আঁশযুক্ত খাবার,5,3
66,আকর্ষণ তন্তু,2,1
67,আঙ্গুলের ত্বক,10,1
68,আত্তীকরণ,5,1
69,আন্তরিক রস,5,1
70,আবদ্ধ সৌরশক্তি,2,1
71,আবরণী টিস্যু,2,8
72,আবরণী টিস্যুর কোষ,2,2
73,আবর্জনাভুক,13,2
74,আমাশয় রোগ,5,6
75,আমিষ,5,4
76,আয়রন,5,3
77,আয়োডিনের অভাব,10,2
78,আযাক্সন,10,1
79,আযাস্টার-রে,2,1
80,আর্থাইটিস,9,2
81,আর্ম,2,1
82,আলফা থ্যালাসেমিয়া,12,1
83,আলো,"4,6,10",7
84,আলো-বাতাসপূর্ণ গৃহে বসবাস,7,1
85,আলোক নিরপেক্ষ পর্যায়,4,1
86,আলোর উদ্দীপনাজনিত তাড়না,10,2
87,আল্ট্রাফিলট্রেট,8,2
88,আল্দিক গ্রন্থি,5,1
89,আল্লিক,5,1
90,আশযুন্ত খাবার,9,1
91,আ্যাক্সন,2,1
92,আ্যাডরেনাল গ্রন্থি,10,2
93,আ্যাডরেনালিন,10,1
94,আ্যাডিনোসিন,3,2
95,আ্যাডিনোসিন অণু,3,3
96,আ্যান্টিবায়োসিস,13,1
97,আ্যাপেনডিক্স,5,1
98,আ্যাপেনডিক্সের সংক্রমণ,5,1
99,আ্যাপেনডিসাইটিস,5,5
100,আ্যাফারেন্ট আর্টারিওল,8,2
101,আ্যামাইনো এসিড,5,3
102,আ্যাসিটাইল ০-/&,4,1
103,আ্যা�ডরেনাল গ্রন্থি,10,1
104,ইংরেজ প্রাণরসায়নবিদ,4,1
105,ইউক্যারিওটা,1,2
106,ইউরিনিফেরাস নালিকা,8,2
107,ইওসিনোফিল,6,1
108,ইচ্ছাধীন স্নায়ু,9,1
109,ইচ্ছানুযায়ী সংকুচিত বা প্রসারিত হয়,2,4
110,ইচ্ছামতো,9,1
111,ইথিলিন,10,8
112,ইনসুলিন,10,1
113,ইনসুলিনের ঘাটতি,10,2
114,ইন্টারনেট আসন্তি,5,1
115,ইন্টারফেজ,2,1
116,ইন্ডোল আ্যাসিটিক এসিড (4&&,10,1
117,ইফারেন্ট আর্টারিওল,8,1
118,ইভোলিউশন,12,1
119,ইলাস্টিন,9,2
120,ইলিয়াম,5,2
121,ইলিশ মাছ,7,1
122,ইলেক্ট্রন তরঙ,2,1
123,ইলেক্ট্রন মাইক্রোস্কোপ,2,1
124,ইস্ট,4,2
125,ঈষৎ সচল অস্থিসন্ধি,9,1
126,উচ্চ রক্তচাপ,6,5
127,উচ্চ রক্তচাপের প্রতিকার,6,3
128,উচ্চ রক্তচাপের ব্যক্তি,10,1
129,উচ্চশ্রেণির জীব,11,1
130,উত্তেজিত য়ায়ু,10,1
131,উদ্দীপনা,10,4
132,উদ্ভিদ,"2,5,6,7,10,11,13",16
133,উদ্ভিদ এবং প্রাণী,13,1
134,উদ্ভিদ টিস্যু কালচার,14,1
135,উদ্ভিদের কোষ,"6,10",2
136,উদ্ভিদের গ্যাসীয় বিনিময়,7,1
137,উদ্ভিদের পরিবহণ টিস্যুগুচ্ছ,2,1
138,উদ্ভিদের পাতা,"6,7",2
139,উদ্ভিদের পুষ্প সৃষ্টি,10,1
140,উদ্ভিদের ফুল ধারণ ত্বরাস্বিত করার প্রক্রিয়া,10,1
141,উদ্ভিদের বর্ধনশীল শীর্ষ অঞ্চল,5,1
142,উপজিহ্বা,7,1
143,উৎকণ্ঠা,5,1
144,উৎপাদক,13,1
145,উৎপাদক সবুজ উদ্ভিদ,13,1
146,উৎসেচক,"2,4",3
147,এ কোষ,11,1
148,এই চক্র,4,1
149,এই নিউক্লিয়াস,11,1
150,এইডস রোগ,11,1
151,এককোষী প্রাণী,2,1
152,একটি করে নিউক্লিয়াস,11,1
153,এডিনিন,12,1
154,এনজাইম,5,2
155,এনামেল,5,1
156,এন্ডোপ্লাজমিক রেটিকুলাম,2,3
157,এপিলেপসি,10,2
158,ও উদ্ভিদ,4,1
159,ওঁষধ,7,1
160,ওঁষধ সেবন,7,1
161,ক' থার্মোফ্লাস্কের অঙ্কুরিত ছোলাগুলো,4,3
162,কঙ্কাল,9,6
