chunk_id,chapter_no,subject,relation,object
9-10-biology_secondary-1-20,1,ট্যাক্সোনমি,সংজ্ঞা,শ্রেণিবিন্যাসবিদ্যা
9-10-biology_secondary-1-20,1,শ্রেণিবিন্যাসের লক্ষ্য,কাজ,একটাই বিশাল এবং বৈচিত্র্যময় জীবজগৎকে সহজভাবে অল্প পরিশ্রমে এবং অল্প সময়ে সঠিকভাবে জানা
9-10-biology_secondary-1-21,1,ক্যারোলাস লিনিয়াস,অবস্থান,আপসালা বিশ্ববিদ্যালয়
9-10-biology_secondary-1-21,1,ক্যারোলাস লিনিয়াস,কাজ,আ্যানাটমির অধ্যাপক
9-10-biology_secondary-1-21,1,ক্যারোলাস লিনিয়াস,কারণ,"বিভিন্ন ধরনের উদ্ভিদ, বিশেষ করে ফুল সংগ্রহ আর জীবের শ্রেণিবিন্যাসে তার অনেক আগ্রহ"
9-10-biology_secondary-1-21,1,ক্যারোলাস লিনিয়াস,কারণ,প্রথম জীবের পূর্ণ শ্রেণিবিন্যাসের এবং নামকরণের ভিত্তি প্রবর্তন
9-10-biology_secondary-1-21,1,ক্যারোলাস লিনিয়াস,কারণ,"জীবজগৎকে দুটি ভাগে, যথা উদ্ভিদজগৎ এবং প্রাণিজগৎ হিসেবে বিন্যস্ত করেন"
9-10-biology_secondary-1-24,1,সুপার কিংডম 1,প্রকার,প্রোক্যারিওটা
9-10-biology_secondary-1-24,1,প্রোক্যারিওটা,কারণ,"আদিকোষ (নিউক্লিয়াস সুগঠিত নয়) বিশিষ্ট এককোষী, আণুবীক্ষণিক জীব"
9-10-biology_secondary-1-27,1,ইউক্যারিওটা,অংশ,প্রকৃতকোষ বিশিষ্ট এককোষী বা বহুকোষী
9-10-biology_secondary-1-27,1,ইউক্যারিওটা,অংশ,এককভাবে অথবা কলোনি আকারে দলবদ্ধভাবে বসবাস করে
9-10-biology_secondary-1-30,1,বৈশিষ্ট্য,প্রকার,"অধিকাংশই স্থলজ, মৃতজীবী বা পরজীবী"
9-10-biology_secondary-1-30,1,কোষ,অবস্থান,এককোষী অথবা মাইসেলিয়াম
9-10-biology_secondary-1-30,1,কোষ,অংশ,কাইটিন বস্তু
9-10-biology_secondary-1-30,1,ক্লোরোপ্লাস্ট,অবস্থান,অনুপস্থিত
9-10-biology_secondary-1-30,1,বংশবৃদ্ধি,কারণ,হ্যাপ্নয়েড স্পোর
9-10-biology_secondary-1-31,1,বৈশিষ্ট্য,প্রকার,প্রকৃত নিউক্লিয়াসযুক্ত সালোকসংশ্লেষণকারী উদ্ভিদ
9-10-biology_secondary-1-31,1,বৈশিষ্ট্য,কাজ,উন্ত টিস্যুতন্দ্র বিদ্যমান
9-10-biology_secondary-1-31,1,বৈশিষ্ট্য,কারণ,ভ্রণ সৃষ্টি হয় এবং তা থেকে ডিপ্লয়েড পর্যায় শুরু হয়
9-10-biology_secondary-1-31,1,বৈশিষ্ট্য,প্রতিরোধ,স্থলজ অথবা জলজ প্রজাতি আছে
