chapter_no,title_bn,title_bn_alt,title_en_gloss
1,জীবন পাঠ,জীবনপাঠ,Study of life
2,জীবকোষ ও টিস্যু,,Cell and tissue
3,কোষ বিভাজন,,Cell division
4,জীবনীশক্তি,,Bioenergetics
5,"খাদ্য, পুষ্টি ও পরিপাক",,Food nutrition and digestion
6,জীবে পরিবহন,জীবে পরিবহণ,Transport in organisms
7,গ্যাসীয় বিনিময়,,Gaseous exchange
8,রেচন প্রক্রিয়া,,Excretion
9,দৃঢ়তা প্রদান ও চলন,,Support and movement
10,সমন্বয়,,Coordination
11,জীবের প্রজনন,,Reproduction
12,জীবের বংশগতি ও জৈব অভিব্যক্তি,জীবের বংশগতি ও বিবর্তন,Heredity and evolution
13,জীবের পরিবেশ,,Environment of organisms
14,জীবপ্রযুক্তি,,Biotechnology
