triple_id,chapter_no,chapter_title,subject,relation,object,verdict,note,source_text
T1660,10,সমন্বয়,মধ্যমস্তিষ্ক,কাজ,দর্শন ও শ্রবণের ক্ষেত্রে গুরুত্বপূর্ণ ভূমিকা,,,চিত্র ১০.০২: মস্তিষ্কের লম্বচ্ছেদ পশ্চাৎ মস্তিষ্কের উপরের অংশ হলো মধ্যমস্তিষ্ক। এটি অগ্র ও পশ্চাৎ মস্তিষ্ককে সংযুক্ত করে। বিভিন্ন পেশির কাজের সমন্বযয়সাধন ও ভারসাম্য রক্ষা করা মধ্যমস্তিষ্কের কাজ । দর্শন ও শ্রবণের ক্ষেত্রেও রয়েছে মধ্যমস্তিক্কের গুরুত্বপূর্ণ ভূমিকা
T1437,9,দৃঢ়তা প্রদান ও চলন,অস্টিওপোরোসিস,কারণ,কারণ,,,"দৃঢ়তা প্রদান ও চলন ১৯১ রড) এ অধ্যায় শেষে আমরা- * মানবকঙ্কালের বর্ণনা করতে পারব; * দৃঢ়তা প্রদান এবং চলনে কঙ্কালের ভূমিকা ব্যাখ্যা করতে পারব; * বিভিন্ন প্রকার অস্থি ও অস্থিসন্ধির কাজ ব্যাখ্যা করতে পারব; * পেশির ক্রিয়া ব্যাখ্যা করতে পারব; * টেনডন ও লিগামেন্টের কাজ ব্যাখ্যা করতে পারব; * অস্টিওপোরোসিসের কারণ, লক্ষণ ও প্রতিকার বর্ণনা করতে পারব; * আর্থাইটিসের কারণ, লক্ষণ ও প্রতিকার বর্ণনা করতে পারব;"
T1893,11,জীবের প্রজনন,ফল,প্রকার,অপ্রকৃত ফল,,,"শুধু গর্ভাশয় ফলে পরিণত হলে তাকে প্রকৃত ফল বলে, যেমন: আম, জাম। গর্ভাশয়সহ ফুলের অন্যান্য অংশ পুষ্ট হয়ে যখন ফলে পরিণত হয়, তখন তাকে অপ্রকৃত ফল বলে, যেমন: আপেল, চালতা ইত্যাদি। সব প্রকৃত এবং অপ্রকৃত ফলকে আবার তিন ভাগে ভাগ করা যায়, যেমন: সরল ফল, গুচ্ছ ফল এবং যৌগিক ফল। ১১.৩ প্রাণীর প্রজনন প্রাণিজগতে দুই ধরনের প্রজনন দেখা যায়, অযৌন প্রজনন (4&56১008] ০01০0000001) এবং যৌন"
T1072,6,জীবে পরিবহন,রক্তকোষ,প্রকার,অণুচক্রিকা,,,"দেহের সর্বত্র সঞ্চালিত হয়। এভাবে দেহকোষণগুলো পুষ্টিকর দ্রব্যাদি গ্রহণ করে দেহের পুষ্টির সাধন এবং ক্ষয়পূরণ করে। মানবদেহে তিন ধরনের রক্তকোষ দেখা যায়, লোহিত রক্তকোষ (0২০৫ ৪1০০0 ০9]15), শ্বেত রক্তকোষ (41166 ৪1000 ০০]]5), এবং অণুচক্রিকা (218061605)। যদিও এগুলো সব কোষ, তবে রক্তের প্লাজমার চিত্র ৬.০৭: বিভিন্ন ধরনের রক্তকোষ"
T2232,14,জীবপ্রযুক্তি,জিন প্রকৌশল,অবস্থান,আন্তর্জাতিকভাবে স্বীকৃত জীবনিরাপত্তা নিয়ম-নীতি দিয়ে নিয়ন্ত্রিত,,,"জীবপ্রযুক্তি ৩১৫ নতুন ফসল উদ্ভাবনের ক্ষেত্রে প্রচলিত প্রজননের তুলনায় জিন প্রকৌশল অনেক বেশি কার্যকরী, কারণ জিন প্রকৌশলের মাধ্যমে নিকটবর্তী বা দূরবর্তী যেকোনো প্রজাতির মাঝে এক বা একাধিক জিন প্রয়োজন ৷ জিন প্রকৌশলের সাহায্যে খুব দ্রুত কাঙ্ক্ষিত বৈশিষ্ট্যসম্পন্ন উদ্ভিদ, প্রাণী বা অণুজীব পাওয়া সম্ভব। প্রচলিত প্রজননে কাঙ্ক্ষিত জিনের সাথে অনাকাঙ্ক্ষিত জিনও স্থানান্তর হয়ে যেতে পারে এবং কাঙ্ক্ষিত জিনের স্থানান্তরও অনেকখানি অনিশ্চিত । জিন প্রকৌশলে অনাকাঙ্ক্ষিত জিন স্থানান্তরের সম্ভাবনা নেই এবং কাঙ্ক্ষি"
T0434,3,কোষ বিভাজন,আ্যাডিনোসিন অণু,পরিমাণ,৭১ ফসফেট/ফসফোরিক এসিড গ্রুপ,,,"ঢাৰ/ এবং ঢাব&-এর গাঠনিক উপাদানগুলোর একটি হলো আ্যাডেনিন। এটি একটি নাইট্রোজেন বেস। এর সাথে পাঁচ কার্বনবিশিষ্ট রাইবোজ সুগার অণু যুক্ত হয়ে তৈরি হয় আ্যাডিনোসিন। আ্যাডিনোসিন অণুর সাথে পর্যায়ক্রমে একটি, দুটি এবং তিনটি ফসফেট/ফসফোরিক এসিড গ্রুপ যুক্ত হয়ে যথাক্রমে আ্যাডিনোসিন মনোফসফেট (4472), আ্যাডিনোসিন ডাইফসফেট (477) এবং আ্যাডিনোসিন ট্রাইফসফেট (৭1) গঠন করে। এভাবে ফসফেট যুক্ত করতে বাইরে থেকে শত্তি দিতে হয়। এই বিক্রিয়ার নাম ফসফোরাইলেশন (81050171800) । আবার এর বিপরীত প্রক্রিয়ায়, ফসফেট গ্রুপ বিচ্ছিন"
T1879,11,জীবের প্রজনন,মাঝের কোষ,কারণ,বড়,,,এর পরবর্তী ধাপে দুই মেরু থেকে একটি করে নিউক্লিয়াস ভ্রণথলির কেন্দ্রস্থলে এসে পরস্পরের সাথে মিলিত হয়ে ডিপ্লয়েড (21) গৌণ নিউক্লিয়াস ($৩০০০1৭031% 17001605) সৃষ্টি করে। দুই মেরুর গর্ভযন্ম (855 3813605) বলে। এর মাঝের কোষটি বড়। একে ডিম্বাণু (৮55) এবং অন্য কোষকে সহকারী কোষ (57918105) বলা হয়। গর্ভযন্দ্রের বিপরীত দিকের কোষ তিনটিকে প্রতিপাদ কোষ (4000031] ০০]]5) বলে। এভাবেই ভ্ণথলির গঠন প্রক্রিয়া শেষ হয়।
T0666,5,"খাদ্য, পুষ্টি ও পরিপাক",লাইপেজ,কাজ,পিত্ত-লবণের সংস্পর্শে ম্নেহপদার্থকে সাবানের ফেনার মতো স্ষুদ্র ক্ষুদ্র দানায় পরিণত হতে সাহায্য,,,যকৃৎ থেকে পিত্তরস নিঃসৃত হয়। এটি অল্লীয় অবস্থায় পিত্ত-লবণ মেনহপদার্থের ক্ষুদ্র কণাগুলোকে পানির সাথে মিশতে সাহায্যে করে। পিত্ত-লবণ পিত্তরসের অন্যতম উপাদান। লাইপেজ নামক এনজাইমের কাজ যথাযথ সম্পাদনের জন্য পিত্ত-লবণের ভূমিকা গুরুত্বপূর্ণ। এ লবণের সংস্পর্শে ম্নেহপদার্থ সাবানের ফেনার মতো স্ষুদ্র ক্ষুদ্র দানায় পরিণত হয়। স্নেহবিশ্লেষক লাইপেজ এই দানাগুলোকে ভেঙে
T0001,1,জীবন পাঠ,ট্যাক্সোনমি,সংজ্ঞা,শ্রেণিবিন্যাসবিদ্যা,,,"জীবনপাঠ ৭ নিয়মে শ্রেণিবিন্যাস করার প্রয়োজনীয়তা অবশ্য অনেক আগে থেকেই প্রকৃতিবিদগণ অনুভব করেছিলেন। সেই প্রয়োজনের তাগিদেই জীববিজ্ঞানের একটি স্বতন্ত্র শাখা গড়ে উঠেছে, যার নাম ট্যাক্সোনমি বা শ্রেণিবিন্যাসবিদ্যা। শ্রেণিবিন্যাসের লক্ষ্য মূলত একটাই ৷ তা হচ্ছে এই বিশাল এবং বৈচিত্র্যময় জীবজগৎকে সহজভাবে অল্প পরিশ্রমে এবং অল্প সময়ে সঠিকভাবে জানা।"
T2119,13,জীবের পরিবেশ,তৃতীয় স্তরের খাদক,কাজ,"ছোট মাছ, চিংড়ি ইত্যাদি দ্বিতীয় সতরের খাদককে ভক্ষণ করে",,,"(০0 দ্বিতীয় স্তরের খাদক: ছোট মাছ, কিছু জলজ পতঙ্গ, ব্যাঙ প্রভৃতি দ্বিতীয় স্তরের খাদক এরা নিজে খাদ্য প্রস্তুত করতে পারে না এবং উৎপাদককেও খাদ্য হিসেবে সরাসরি গ্রহণ করতে পারে না। এরা প্রথম স্তরের খাদকদের খাদ্য হিসেবে গ্রহণ করে। (0) তৃতীয় স্তরের খাদক: যেসব খাদক ছোট মাছ, চিংড়ি ইত্যাদি দ্বিতীয় সতরের খাদককে ভক্ষণ করে স্তর বা সর্বোচ্চ খাদক ৷"
