triple_id,head_id,head,relation,value,chapter_no,chunk_id,subj_suspect
T0001,400,ট্যাক্সোনমি,সংজ্ঞা,শ্রেণিবিন্যাসবিদ্যা,1,9-10-biology_secondary-1-20,False
T0002,990,শ্রেণিবিন্যাসের লক্ষ্য,কাজ,একটাই বিশাল এবং বৈচিত্র্যময় জীবজগৎকে সহজভাবে অল্প পরিশ্রমে এবং অল্প সময়ে সঠিকভাবে জানা,1,9-10-biology_secondary-1-20,False
T0003,224,ক্যারোলাস লিনিয়াস,অবস্থান,আপসালা বিশ্ববিদ্যালয়,1,9-10-biology_secondary-1-21,False
T0004,224,ক্যারোলাস লিনিয়াস,কাজ,আ্যানাটমির অধ্যাপক,1,9-10-biology_secondary-1-21,False
T0005,224,ক্যারোলাস লিনিয়াস,কারণ,"বিভিন্ন ধরনের উদ্ভিদ, বিশেষ করে ফুল সংগ্রহ আর জীবের শ্রেণিবিন্যাসে তার অনেক আগ্রহ",1,9-10-biology_secondary-1-21,False
T0006,224,ক্যারোলাস লিনিয়াস,কারণ,প্রথম জীবের পূর্ণ শ্রেণিবিন্যাসের এবং নামকরণের ভিত্তি প্রবর্তন,1,9-10-biology_secondary-1-21,False
T0007,224,ক্যারোলাস লিনিয়াস,কারণ,"জীবজগৎকে দুটি ভাগে, যথা উদ্ভিদজগৎ এবং প্রাণিজগৎ হিসেবে বিন্যস্ত করেন",1,9-10-biology_secondary-1-21,False
T0008,1041,সুপার কিংডম 1,প্রকার,প্রোক্যারিওটা,1,9-10-biology_secondary-1-24,False
T0009,636,প্রোক্যারিওটা,কারণ,"আদিকোষ (নিউক্লিয়াস সুগঠিত নয়) বিশিষ্ট এককোষী, আণুবীক্ষণিক জীব",1,9-10-biology_secondary-1-24,False
T0010,105,ইউক্যারিওটা,অংশ,প্রকৃতকোষ বিশিষ্ট এককোষী বা বহুকোষী,1,9-10-biology_secondary-1-27,False
T0011,105,ইউক্যারিওটা,অংশ,এককভাবে অথবা কলোনি আকারে দলবদ্ধভাবে বসবাস করে,1,9-10-biology_secondary-1-27,False
T0012,759,বৈশিষ্ট্য,প্রকার,"অধিকাংশই স্থলজ, মৃতজীবী বা পরজীবী",1,9-10-biology_secondary-1-30,False
T0013,203,কোষ,অবস্থান,এককোষী অথবা মাইসেলিয়াম,1,9-10-biology_secondary-1-30,False
T0014,203,কোষ,অংশ,কাইটিন বস্তু,1,9-10-biology_secondary-1-30,False
T0015,238,ক্লোরোপ্লাস্ট,অবস্থান,অনুপস্থিত,1,9-10-biology_secondary-1-30,False
T0016,683,বংশবৃদ্ধি,কারণ,হ্যাপ্নয়েড স্পোর,1,9-10-biology_secondary-1-30,False
T0017,759,বৈশিষ্ট্য,প্রকার,প্রকৃত নিউক্লিয়াসযুক্ত সালোকসংশ্লেষণকারী উদ্ভিদ,1,9-10-biology_secondary-1-31,False
T0018,759,বৈশিষ্ট্য,কাজ,উন্ত টিস্যুতন্দ্র বিদ্যমান,1,9-10-biology_secondary-1-31,False
T0019,759,বৈশিষ্ট্য,কারণ,ভ্রণ সৃষ্টি হয় এবং তা থেকে ডিপ্লয়েড পর্যায় শুরু হয়,1,9-10-biology_secondary-1-31,False
T0020,759,বৈশিষ্ট্য,প্রতিরোধ,স্থলজ অথবা জলজ প্রজাতি আছে,1,9-10-biology_secondary-1-31,False
T0021,759,বৈশিষ্ট্য,লক্ষণ,"আকার, আকৃতি অথবা শারীরবৃত্তীয় পার্থক্যবিশিষ্ট ভিন্নধর্মী দুটি গ্যামেটের মিলনের মাধ্যমে যৌন জনন সম্পন্ন হয়",1,9-10-biology_secondary-1-31,False
T0022,759,বৈশিষ্ট্য,প্রকার,নিউক্লিয়াসবিশিষ্ট ও বহুকোষী প্রাণী,1,9-10-biology_secondary-1-33,False
T0023,633,প্রাণী,কাজ,হেটারোট্রোফিক অর্থাৎ পরভোজী এবং খাদ্য গলাধঃকরণ করে,1,9-10-biology_secondary-1-33,False
T0024,633,প্রাণী,অবস্থান,দেহে জটিল টিস্যুতন্ত্র বিদ্যমান,1,9-10-biology_secondary-1-33,False
T0025,782,ভ্রণ বিকাশকালীন সময়ে,কারণ,ভ্র্ণীয় স্তর সৃষ্টি হয়,1,9-10-biology_secondary-1-33,False
T0026,384,টমাস কেভলিয়ার-স্মিথ,কাজ,জীবজগতের প্রোটিস্টাকে দুটি ভাগে ভাগ করা এবং মনেরাকে ব্যাকটেরিয়া রাজ্য হিসেবে নামকরণ করা,1,9-10-biology_secondary-1-34,False
T0027,361,জীবজগৎ,অংশ,ছয়টি রাজ্য,1,9-10-biology_secondary-1-34,False
T0028,989,শ্রেণিবিন্যাসের ধাপ,অবস্থান,উপরে,1,9-10-biology_secondary-1-36,False
T0029,989,শ্রেণিবিন্যাসের ধাপ,অবস্থান,নিচে,1,9-10-biology_secondary-1-36,False
T0030,1040,সুকেন্দ্রিক কোষবিশিষ্ট বহুকোষী পরভোজী জটিল টিস্যুতন্তর,প্রকার,আছে,1,9-10-biology_secondary-1-39,True
T0031,706,বাচ্চা,কাজ,বুকের দুধ খাওয়া,1,9-10-biology_secondary-1-39,False
T0032,706,বাচ্চা,কারণ,লোম/চুল আছে,1,9-10-biology_secondary-1-39,False
T0033,1102,হাত,কারণ,আঁকড়ে ধরার উপযোগী,1,9-10-biology_secondary-1-39,False
T0034,466,দৃষ্টিশক্তি,কারণ,বেশি উন্নত,1,9-10-biology_secondary-1-39,False
T0035,797,মস্তিষ্ক,অবস্থান,দেহের অনুপাতে সবচেয়ে বড়,1,9-10-biology_secondary-1-39,False
T0036,311,চওড়া এবং খাড়া কপাল,কারণ,পাতলা এবং বুদ্ধিবৃত্তিকভাবে উন্নত,1,9-10-biology_secondary-1-40,False
T0037,608,প্রজাতি,অবস্থান,শ্রেণিবিন্যাসের ধাপে,1,9-10-biology_secondary-1-40,False
T0038,963,শিক্ষার্থী,কারণ,জীববিজ্ঞানের,1,9-10-biology_secondary-1-40,False
T0039,371,জীবের বৈজ্ঞানিক নাম,অংশ,দুটি অংশ বা পদ,1,9-10-biology_secondary-1-41,False
T0040,621,প্রথম অংশ,কাজ,গণ নাম,1,9-10-biology_secondary-1-41,False
T0041,473,দ্বিতীয় অংশ,কাজ,প্রজাতির নাম,1,9-10-biology_secondary-1-41,False
T0042,475,দ্বিপদ নাম,কারণ,জীবজগতের প্রতিটি জীবকে আলাদা নামে জানা,1,9-10-biology_secondary-1-41,False
T0043,476,দ্বিপদ নামকরণ,কারণ,জীবের বৈজ্ঞানিক নাম নির্ধারণ,1,9-10-biology_secondary-1-41,False
T0044,757,বৈজ্ঞানিক নাম,অংশ,গণ নাম,1,9-10-biology_secondary-1-44,False
T0045,757,বৈজ্ঞানিক নাম,অংশ,প্রজাতি নাম,1,9-10-biology_secondary-1-44,False
T0046,757,বৈজ্ঞানিক নাম,কারণ,অনন্য,1,9-10-biology_secondary-1-44,False
T0047,758,বৈজ্ঞানিক নামের প্রথম অংশ,কারণ,প্রথম অক্ষর বড় অক্ষর হবে,1,9-10-biology_secondary-1-44,False
T0048,758,বৈজ্ঞানিক নামের প্রথম অংশ,কারণ,বাকি অক্ষরগুলো ছোট অক্ষর,1,9-10-biology_secondary-1-44,False
