triple_id,head_id,head,tail_id,tail,relation,source_relation,chapter_no
T0002,990,শ্রেণিবিন্যাসের লক্ষ্য,361,জীবজগৎ,সম্পর্কিত,কাজ,1
T0005,224,ক্যারোলাস লিনিয়াস,132,উদ্ভিদ,সম্পর্কিত,কারণ,1
T0007,224,ক্যারোলাস লিনিয়াস,361,জীবজগৎ,সম্পর্কিত,কারণ,1
T0008,1041,সুপার কিংডম 1,636,প্রোক্যারিওটা,সম্পর্কিত,প্রকার,1
T0009,636,প্রোক্যারিওটা,506,নিউক্লিয়াস,সম্পর্কিত,কারণ,1
T0017,759,বৈশিষ্ট্য,132,উদ্ভিদ,সম্পর্কিত,প্রকার,1
T0019,759,বৈশিষ্ট্য,781,ভ্রণ,সম্পর্কিত,কারণ,1
T0020,759,বৈশিষ্ট্য,608,প্রজাতি,সম্পর্কিত,প্রতিরোধ,1
T0022,759,বৈশিষ্ট্য,633,প্রাণী,সম্পর্কিত,প্রকার,1
T0023,633,প্রাণী,253,খাদ্য,সম্পর্কিত,কাজ,1
T0026,384,টমাস কেভলিয়ার-স্মিথ,763,ব্যাকটেরিয়া,সম্পর্কিত,কাজ,1
T0041,473,দ্বিতীয় অংশ,608,প্রজাতি,সম্পর্কিত,কাজ,1
T0043,476,দ্বিপদ নামকরণ,371,জীবের বৈজ্ঞানিক নাম,সম্পর্কিত,কারণ,1
T0045,757,বৈজ্ঞানিক নাম,608,প্রজাতি,সম্পর্কিত,অংশ,1
T0049,1019,সাধারণ নাম,757,বৈজ্ঞানিক নাম,সম্পর্কিত,প্রকার,1
T0054,786,ভ্ূণবিদ্যা,341,জাইগোট,সম্পর্কিত,কাজ,1
T0054,786,ভ্ূণবিদ্যা,781,ভ্রণ,সম্পর্কিত,কাজ,1
T0055,424,তন্দ্র,968,শিশুর,সম্পর্কিত,অংশ,2
T0055,424,তন্দ্র,14,অঙ্গ,সম্পর্কিত,অংশ,2
T0056,633,প্রাণী,606,প্রজনন,সম্পর্কিত,কাজ,2
T0058,822,মানুষ,633,প্রাণী,সম্পর্কিত,কারণ,2
T0059,574,পুরুষ মানুষের দেহ,573,পুরুষ,সম্পর্কিত,অংশ,2
T0065,301,গ্রন্থি,1094,হরমোন,সম্পর্কিত,কাজ,2
T0066,301,গ্রন্থি,26,অণুবীক্ষণ যন্ত্র,সম্পর্কিত,পরিমাণ,2
T0074,1067,স্টেজ,81,আর্ম,সম্পর্কিত,অবস্থান,2
T0076,524,নোজপিস,691,বড়ি টিউব,সম্পর্কিত,অবস্থান,2
T0079,657,ফাইন আ্যাডজাস্টমেন্ট নব,1067,স্টেজ,সম্পর্কিত,কাজ,2
T0080,657,ফাইন আ্যাডজাস্টমেন্ট নব,1005,সমন্বয়,সম্পর্কিত,কারণ,2
T0083,212,কোষবিল্লী,639,প্রোটোপ্লাজম,সম্পর্কিত,অংশ,2
T0084,210,কোষঝিল্লি,639,প্রোটোপ্লাজম,সম্পর্কিত,অংশ,2
T0085,1015,সাইটোপ্লাজমীয় অঙ্গাণু,212,কোষবিল্লী,সম্পর্কিত,অবস্থান,2
T0086,506,নিউক্লিয়াস,212,কোষবিল্লী,সম্পর্কিত,অবস্থান,2
T0087,1023,সাবস্টেজ,1067,স্টেজ,সম্পর্কিত,অবস্থান,2
T0089,1023,সাবস্টেজ,166,কনডেলার,সম্পর্কিত,কারণ,2
T0097,26,অণুবীক্ষণ যন্ত্র,16,অঙ্গাণু,সম্পর্কিত,কাজ,2
T0099,123,ইলেক্ট্রন মাইক্রোস্কোপ,26,অণুবীক্ষণ যন্ত্র,সম্পর্কিত,প্রকার,2
T0100,203,কোষ,506,নিউক্লিয়াস,সম্পর্কিত,অবস্থান,2
T0104,16,অঙ্গাণু,1015,সাইটোপ্লাজমীয় অঙ্গাণু,সম্পর্কিত,প্রকার,2
T0110,223,ক্যারিওকাইনেসিস,506,নিউক্লিয়াস,সম্পর্কিত,অবস্থান,2
T0110,223,ক্যারিওকাইনেসিস,734,বিভাজন,সম্পর্কিত,অবস্থান,2
T0111,1012,সাইটোকাইনেসিস,734,বিভাজন,সম্পর্কিত,অবস্থান,2
T0113,115,ইন্টারফেজ,734,বিভাজন,সম্পর্কিত,অবস্থান,2
T0115,1084,স্পিন্ডল যন্ত্র,463,দুই মেরু,সম্পর্কিত,অংশ,2
T0118,1086,স্পিন্ডলযন্ত্রের কিছু তন্তু,1083,স্পিন্ডল তন্তু,সম্পর্কিত,অবস্থান,2
T0119,66,আকর্ষণ তন্তু,1086,স্পিন্ডলযন্ত্রের কিছু তন্তু,সম্পর্কিত,কারণ,2
T0120,235,ক্রোমোজোম,1086,স্পিন্ডলযন্ত্রের কিছু তন্তু,সম্পর্কিত,অবস্থান,2
T0121,236,ক্রোমোজোমাল তন্তু,235,ক্রোমোজোম,সম্পর্কিত,কারণ,2
T0125,631,প্রাণিকোষ,1084,স্পিন্ডল যন্ত্র,সম্পর্কিত,কাজ,2
T0125,631,প্রাণিকোষ,1051,সেন্ট্রিওল,সম্পর্কিত,কাজ,2
T0128,79,আযাস্টার-রে,893,রশ্মি,সম্পর্কিত,কারণ,2
T0132,237,ক্রোমোটিড,40,অপত্য ক্রোমোজোম,সম্পর্কিত,অবস্থান,2
T0135,40,অপত্য ক্রোমোজোম,1063,সেস্ট্রোমিয়ার,সম্পর্কিত,অবস্থান,2
T0138,1054,সেন্ট্রোমিয়ার,235,ক্রোমোজোম,সম্পর্কিত,অবস্থান,2
T0146,295,গিঁট,788,মডেল,সম্পর্কিত,অবস্থান,2
T0148,725,বাহু,232,ক্রোমাটিড,সম্পর্কিত,কাজ,2
T0149,725,বাহু,1054,সেন্ট্রোমিয়ার,সম্পর্কিত,অবস্থান,2
T0151,980,শ্বসনের ধাপ,146,উৎসেচক,সম্পর্কিত,কাজ,2
T0151,980,শ্বসনের ধাপ,731,বিক্রিয়া,সম্পর্কিত,কাজ,2
T0154,642,প্লাস্টিড,253,খাদ্য,সম্পর্কিত,কাজ,2
T0157,238,ক্লোরোপ্লাস্ট,642,প্লাস্টিড,সম্পর্কিত,প্রকার,2
T0160,644,প্লীস্টিডের গ্রানা,1046,সূর্যালোক,সম্পর্কিত,কাজ,2
T0163,890,রঙিন প্লাস্টিড,550,পাতা,সম্পর্কিত,কাজ,2
T0165,156,এন্ডোপ্লাজমিক রেটিকুলাম,638,প্রোটিনগুলো,সম্পর্কিত,কাজ,2
T0166,156,এন্ডোপ্লাজমিক রেটিকুলাম,207,কোষগহ্বর,সম্পর্কিত,কারণ,2
T0169,207,কোষগহ্বর,213,কোষরস,সম্পর্কিত,কাজ,2
T0171,207,কোষগহ্বর,554,পানি,সম্পর্কিত,প্রকার,2
T0172,925,লাইসোজোমের পর্দা,15,অঙ্গাগুলো,সম্পর্কিত,কারণ,2
T0178,895,রাইবোজোম,633,প্রাণী,সম্পর্কিত,অবস্থান,2
T0178,895,রাইবোজোম,132,উদ্ভিদ,সম্পর্কিত,অবস্থান,2
T0179,895,রাইবোজোম,638,প্রোটিনগুলো,সম্পর্কিত,কাজ,2
T0180,895,রাইবোজোম,146,উৎসেচক,সম্পর্কিত,কাজ,2
T0181,146,উৎসেচক,630,প্রাণরাসায়নিক বিক্রিয়াগুলো,সম্পর্কিত,কাজ,2
T0182,804,মাইটোকন্ডরিয়ার ম্যাট্রিক,895,রাইবোজোম,সম্পর্কিত,অবস্থান,2
T0183,643,প্লাস্টিডের স্ট্রোমাত,895,রাইবোজোম,সম্পর্কিত,অবস্থান,2
T0184,895,রাইবোজোম,413,ডিএনএ,সম্পর্কিত,অবস্থান,2
T0184,895,রাইবোজোম,991,সংকেত,সম্পর্কিত,অবস্থান,2
T0185,764,ব্যাকটেরিয়া কোষের সাইটোপ্লাজমে,895,রাইবোজোম,সম্পর্কিত,অবস্থান,2
T0187,16,অঙ্গাণু,1051,সেন্ট্রিওল,সম্পর্কিত,অবস্থান,2
T0189,1052,সেন্ট্রোক্ষিয়া,1055,সেন্ট্রোল,সম্পর্কিত,অবস্থান,2
T0190,1062,সেস্ট্রোক্ফিয়া,1055,সেন্ট্রোল,সম্পর্কিত,অবস্থান,2
T0191,1053,সেন্ট্রোজোম,734,বিভাজন,সম্পর্কিত,কাজ,2
T0195,506,নিউক্লিয়াস,759,বৈশিষ্ট্য,সম্পর্কিত,প্রকার,2
T0196,504,নিউক্লিয়ার ঝিল্লি,506,নিউক্লিয়াস,সম্পর্কিত,অবস্থান,2
T0199,502,নিউক্লিওপ্লাজম,506,নিউক্লিয়াস,সম্পর্কিত,কারণ,2
T0200,503,নিউক্লিওলাস,502,নিউক্লিওপ্লাজম,সম্পর্কিত,অবস্থান,2
T0201,503,নিউক্লিওলাস,638,প্রোটিনগুলো,সম্পর্কিত,কাজ,2
T0202,503,নিউক্লিওলাস,895,রাইবোজোম,সম্পর্কিত,কাজ,2
T0205,425,তন্ভুগুলো,234,ক্রোমাটিনগুলো,সম্পর্কিত,কারণ,2
T0205,425,তন্ভুগুলো,346,জালিকা,সম্পর্কিত,কারণ,2
T0207,234,ক্রোমাটিনগুলো,725,বাহু,সম্পর্কিত,কারণ,2
T0208,235,ক্রোমোজোম,232,ক্রোমাটিড,সম্পর্কিত,অংশ,2
T0209,232,ক্রোমাটিড,1063,সেস্ট্রোমিয়ার,সম্পর্কিত,অংশ,2
T0210,1063,সেস্ট্রোমিয়ার,232,ক্রোমাটিড,সম্পর্কিত,অবস্থান,2
T0211,232,ক্রোমাটিড,725,বাহু,সম্পর্কিত,অংশ,2
T0214,180,কাজ,132,উদ্ভিদ,সম্পর্কিত,প্রকার,2
T0214,180,কাজ,633,প্রাণী,সম্পর্কিত,প্রকার,2
T0215,151,এককোষী প্রাণী,260,খাদ্যগ্রহণ,সম্পর্কিত,কাজ,2
T0215,151,এককোষী প্রাণী,606,প্রজনন,সম্পর্কিত,কাজ,2
T0218,393,টিস্যু,1010,সরল টিস্যু,সম্পর্কিত,প্রকার,2
T0220,1010,সরল টিস্যু,393,টিস্যু,সম্পর্কিত,অবস্থান,2
T0221,1010,সরল টিস্যু,600,প্যারেনকাইমা,সম্পর্কিত,প্রকার,2
T0226,658,ফাইবার,250,খনিজ লবণ,সম্পর্কিত,কাজ,2
T0226,658,ফাইবার,554,পানি,সম্পর্কিত,কাজ,2
T0228,658,ফাইবার,330,ছিদ্র,সম্পর্কিত,অবস্থান,2
T0231,994,সক্কেরাইড,1020,সাধারণত,সম্পর্কিত,অবস্থান,2
T0232,171,কর্টেক্স,393,টিস্যু,সম্পর্কিত,অংশ,2
T0233,648,ফল,393,টিস্যু,সম্পর্কিত,অংশ,2
T0234,741,বীজ,393,টিস্যু,সম্পর্কিত,অংশ,2
T0238,137,উদ্ভিদের পরিবহণ টিস্যুগুচ্ছ,342,জাইলেম,সম্পর্কিত,প্রকার,2
T0238,137,উদ্ভিদের পরিবহণ টিস্যুগুচ্ছ,678,ফ্লোয়েম,সম্পর্কিত,প্রকার,2
T0240,602,প্রকৃত কোষ,506,নিউক্লিয়াস,সম্পর্কিত,অংশ,2
T0242,602,প্রকৃত কোষ,895,রাইবোজোম,সম্পর্কিত,অংশ,2
T0243,602,প্রকৃত কোষ,16,অঙ্গাণু,সম্পর্কিত,অংশ,2
T0244,235,ক্রোমোজোম,638,প্রোটিনগুলো,সম্পর্কিত,অংশ,2
T0252,779,ভেসেল,628,প্রাচীর,সম্পর্কিত,অবস্থান,2
T0256,132,উদ্ভিদ,250,খনিজ লবণ,সম্পর্কিত,কাজ,2
T0256,132,উদ্ভিদ,554,পানি,সম্পর্কিত,কাজ,2
T0257,132,উদ্ভিদ,14,অঙ্গ,সম্পর্কিত,কাজ,2
T0258,343,জাইলেম প্যারেনকাইমা,342,জাইলেম,সম্পর্কিত,অবস্থান,2
T0259,600,প্যারেনকাইমা,253,খাদ্য,সম্পর্কিত,কাজ,2
T0259,600,প্যারেনকাইমা,554,পানি,সম্পর্কিত,কাজ,2
T0263,344,জাইলেম ফাইবার,342,জাইলেম,সম্পর্কিত,অবস্থান,2
T0264,344,জাইলেম ফাইবার,554,পানি,সম্পর্কিত,কাজ,2
T0265,344,জাইলেম ফাইবার,253,খাদ্য,সম্পর্কিত,কাজ,2
T0266,344,জাইলেম ফাইবার,132,উদ্ভিদ,সম্পর্কিত,কাজ,2
T0267,678,ফ্লোয়েম,342,জাইলেম,সম্পর্কিত,কাজ,2
T0267,678,ফ্লোয়েম,395,টিস্যুগুচ্ছ,সম্পর্কিত,কাজ,2
T0268,679,ফ্লোয়েম টিস্যু,680,ফ্লোয়েম প্যারেনকাইমা,সম্পর্কিত,অংশ,2
T0268,679,ফ্লোয়েম টিস্যু,1036,সিভনল,সম্পর্কিত,অংশ,2
T0268,679,ফ্লোয়েম টিস্যু,995,সঙ্গীকোষ,সম্পর্কিত,অংশ,2
T0268,679,ফ্লোয়েম টিস্যু,678,ফ্লোয়েম,সম্পর্কিত,অংশ,2
T0269,1035,সিভকোষ,679,ফ্লোয়েম টিস্যু,সম্পর্কিত,অংশ,2
T0270,1035,সিভকোষ,253,খাদ্য,সম্পর্কিত,কাজ,2
T0271,1036,সিভনল,679,ফ্লোয়েম টিস্যু,সম্পর্কিত,অংশ,2
T0272,995,সঙ্গীকোষ,600,প্যারেনকাইমা,সম্পর্কিত,অবস্থান,2
T0273,357,জীবকোষ ও টিস্যু,506,নিউক্লিয়াস,সম্পর্কিত,কাজ,2
T0273,357,জীবকোষ ও টিস্যু,1035,সিভকোষ,সম্পর্কিত,কাজ,2
T0275,468,দেহকোষ,807,মাইটোসিস,সম্পর্কিত,কাজ,2
T0275,468,দেহকোষ,734,বিভাজন,সম্পর্কিত,কাজ,2
T0276,468,দেহকোষ,423,তন্ত্র,সম্পর্কিত,কাজ,2
T0276,468,দেহকোষ,14,অঙ্গ,সম্পর্কিত,কাজ,2
T0277,680,ফ্লোয়েম প্যারেনকাইমা,679,ফ্লোয়েম টিস্যু,সম্পর্কিত,অবস্থান,2
T0278,680,ফ্লোয়েম প্যারেনকাইমা,253,খাদ্য,সম্পর্কিত,কাজ,2
T0279,680,ফ্লোয়েম প্যারেনকাইমা,600,প্যারেনকাইমা,সম্পর্কিত,প্রকার,2
T0283,203,কোষ,362,জীবদেহ,সম্পর্কিত,অবস্থান,2
T0284,203,কোষ,393,টিস্যু,সম্পর্কিত,কাজ,2
T0292,41,অবরণী টিস্যু,14,অঙ্গ,সম্পর্কিত,কাজ,2
T0301,339,জননকোষ,832,মিয়োসিস,সম্পর্কিত,অবস্থান,2
T0302,339,জননকোষ,734,বিভাজন,সম্পর্কিত,কাজ,2
T0303,38,অপত্য,235,ক্রোমোজোম,সম্পর্কিত,কাজ,2
T0311,1071,স্ট্র্যাটিফাইড আবরণী টিস্যু,405,ট্রানজিশনাল আবরণী,সম্পর্কিত,কাজ,2
T0312,405,ট্রানজিশনাল আবরণী,633,প্রাণী,সম্পর্কিত,প্রতিরোধ,2
T0312,405,ট্রানজিশনাল আবরণী,442,ত্বক,সম্পর্কিত,প্রতিরোধ,2
T0315,1038,সিলিয়াযুক্ত আবরণী টিস্যু,633,প্রাণী,সম্পর্কিত,অবস্থান,2
T0317,243,ক্ষণপদযুত্ত আবরণী টিস্যু,633,প্রাণী,সম্পর্কিত,অবস্থান,2
T0318,338,জনন অঙ্গের আবরণী টিস্যু,610,প্রজাতির ধারা,সম্পর্কিত,কাজ,2
T0318,338,জনন অঙ্গের আবরণী টিস্যু,972,শুক্রাণু,সম্পর্কিত,কাজ,2
T0318,338,জনন অঙ্গের আবরণী টিস্যু,415,ডিম্বাণু,সম্পর্কিত,কাজ,2
T0320,71,আবরণী টিস্যু,14,অঙ্গ,সম্পর্কিত,কাজ,2
T0326,71,আবরণী টিস্যু,301,গ্রন্থি,সম্পর্কিত,অবস্থান,2
T0326,71,আবরণী টিস্যু,393,টিস্যু,সম্পর্কিত,অবস্থান,2
T0327,659,ফাইব্রাস যোজক টিস্যু,587,পেশিগুলো,সম্পর্কিত,অবস্থান,2
T0330,1065,স্কেলিটাল যোজক টিস্যু,14,অঙ্গ,সম্পর্কিত,কাজ,2
T0331,1065,স্কেলিটাল যোজক টিস্যু,797,মস্তিষ্ক,সম্পর্কিত,কাজ,2
T0331,1065,স্কেলিটাল যোজক টিস্যু,857,মেরুরজ্জু,সম্পর্কিত,কাজ,2
T0331,1065,স্কেলিটাল যোজক টিস্যু,667,ফুসফুস,সম্পর্কিত,কাজ,2
T0331,1065,স্কেলিটাল যোজক টিস্যু,15,অঙ্গাগুলো,সম্পর্কিত,কাজ,2
T0333,1065,স্কেলিটাল যোজক টিস্যু,587,পেশিগুলো,সম্পর্কিত,কাজ,2
T0336,427,তরল টিস্যুর প্রধান কাজ,871,রক্ত,সম্পর্কিত,কাজ,2
T0338,429,তরল যোজক টিস্যু,871,রক্ত,সম্পর্কিত,কাজ,2
T0338,429,তরল যোজক টিস্যু,919,লসিকা,সম্পর্কিত,কাজ,2
T0340,341,জাইগোট,362,জীবদেহ,সম্পর্কিত,কাজ,2
T0341,603,প্রকৃত কোষী,132,উদ্ভিদ,সম্পর্কিত,প্রকার,2
T0341,603,প্রকৃত কোষী,633,প্রাণী,সম্পর্কিত,প্রকার,2
T0344,878,রক্তরস,554,পানি,সম্পর্কিত,অংশ,2
T0346,1107,হিমোগ্লোবিন,6,অক্সিজেন,সম্পর্কিত,কাজ,2
T0346,1107,হিমোগ্লোবিন,9,অক্সিহিমোগ্লোবিন,সম্পর্কিত,কাজ,2
T0355,109,ইচ্ছানুযায়ী সংকুচিত বা প্রসারিত হয়,1020,সাধারণত,সম্পর্কিত,কাজ,2
T0355,109,ইচ্ছানুযায়ী সংকুচিত বা প্রসারিত হয়,506,নিউক্লিয়াস,সম্পর্কিত,কাজ,2
T0356,109,ইচ্ছানুযায়ী সংকুচিত বা প্রসারিত হয়,587,পেশিগুলো,সম্পর্কিত,কাজ,2
T0358,796,মসৃণ পেশি,393,টিস্যু,সম্পর্কিত,অবস্থান,2
T0359,34,অনৈচ্ছিক পেশি,876,রক্তনালি,সম্পর্কিত,অবস্থান,2
T0359,34,অনৈচ্ছিক পেশি,593,পৌন্টিকনালি,সম্পর্কিত,অবস্থান,2
T0361,1076,স্নায়ুকোষ,1077,স্নায়ুগুলো,সম্পর্কিত,অংশ,2
T0361,1076,স্নায়ুকোষ,393,টিস্যু,সম্পর্কিত,অংশ,2
T0362,356,জীবকোষ,1077,স্নায়ুগুলো,সম্পর্কিত,অংশ,2
T0362,356,জীবকোষ,393,টিস্যু,সম্পর্কিত,অংশ,2
T0363,510,নিউরন,211,কোষদেহ,সম্পর্কিত,অংশ,2
T0364,510,নিউরন,623,প্রলম্বিত অংশ,সম্পর্কিত,অংশ,2
T0365,623,প্রলম্বিত অংশ,91,আ্যাক্সন,সম্পর্কিত,প্রকার,2
T0365,623,প্রলম্বিত অংশ,417,ডেনড্রাইট,সম্পর্কিত,প্রকার,2
T0366,952,শয়নাতিয়ার্রের পন,510,নিউরন,সম্পর্কিত,অবস্থান,2
T0368,416,ডেনড্রন,623,প্রলম্বিত অংশ,সম্পর্কিত,অংশ,2
T0369,417,ডেনড্রাইট,623,প্রলম্বিত অংশ,সম্পর্কিত,অংশ,2
T0370,918,লম্বা স্নায়ুতন্তু,510,নিউরন,সম্পর্কিত,অংশ,2
T0370,918,লম্বা স্নায়ুতন্তু,211,কোষদেহ,সম্পর্কিত,অংশ,2
T0371,91,আ্যাক্সন,918,লম্বা স্নায়ুতন্তু,সম্পর্কিত,অংশ,2
T0373,1034,সিন্যাপস,131,উদ্দীপনা,সম্পর্কিত,কাজ,2
T0374,1078,স্নায়ুটিস্যু,131,উদ্দীপনা,সম্পর্কিত,কাজ,2
T0374,1078,স্নায়ুটিস্যু,797,মস্তিষ্ক,সম্পর্কিত,কাজ,2
T0376,1078,স্নায়ুটিস্যু,14,অঙ্গ,সম্পর্কিত,কাজ,2
T0376,1078,স্নায়ুটিস্যু,1005,সমন্বয়,সম্পর্কিত,কাজ,2
T0378,48,অভ্যন্তরীণ অঙ্গ,547,পাকস্থলী,সম্পর্কিত,অবস্থান,2
T0378,48,অভ্যন্তরীণ অঙ্গ,120,ইলিয়াম,সম্পর্কিত,অবস্থান,2
T0378,48,অভ্যন্তরীণ অঙ্গ,1111,হৃৎপিণ্ড,সম্পর্কিত,অবস্থান,2
T0378,48,অভ্যন্তরীণ অঙ্গ,865,যকৃৎ,সম্পর্কিত,অবস্থান,2
T0378,48,অভ্যন্তরীণ অঙ্গ,667,ফুসফুস,সম্পর্কিত,অবস্থান,2
T0379,260,খাদ্যগ্রহণ,536,পরিপাকতন্দ্র,সম্পর্কিত,অংশ,2
T0380,536,পরিপাকতন্দ্র,594,পৌষ্টিক নালি,সম্পর্কিত,অংশ,2
T0381,536,পরিপাকতন্দ্র,301,গ্রন্থি,সম্পর্কিত,অংশ,2
T0383,594,পৌষ্টিক নালি,837,মুখগহ্বর,সম্পর্কিত,অংশ,2
T0384,594,পৌষ্টিক নালি,292,গলবিল,সম্পর্কিত,অংশ,2
T0386,594,পৌষ্টিক নালি,547,পাকস্থলী,সম্পর্কিত,অংশ,2
T0388,594,পৌষ্টিক নালি,120,ইলিয়াম,সম্পর্কিত,অংশ,2
T0392,828,মানুষের লালাগ্রন্থি,301,গ্রন্থি,সম্পর্কিত,অবস্থান,2
T0393,828,মানুষের লালাগ্রন্থি,253,খাদ্য,সম্পর্কিত,কাজ,2
T0394,865,যকৃৎ,301,গ্রন্থি,সম্পর্কিত,অবস্থান,2
T0395,865,যকৃৎ,253,খাদ্য,সম্পর্কিত,কাজ,2
T0396,10,অগ্ন্যাশয়,301,গ্রন্থি,সম্পর্কিত,অবস্থান,2
T0397,10,অগ্ন্যাশয়,253,খাদ্য,সম্পর্কিত,কাজ,2
